id,severity,prompt_style,scenario_topic,prompt_text
004-ขาท-อนล-างห-ก-calm,critical,calm,ขาท่อนล่างหัก,ผู้ป่วยรถล้ม มีอาการปวดรุนแรงบริเวณหน้าแข้งและขาผิดรูป สงสัยกระดูกหักและอาจมีแผลเปิด ขอคำแนะนำการพยุงข้อเหนือ-ใต้จุดหัก การปิดแผล และการดามขาระหว่างรอรถพยาบาล
004-ขาท-อนล-างห-ก-misspelled,critical,misspelled,ขาท่อนล่างหัก,รถล้ม หน้าแข้งบิดๆเหมือนหัก กระดูกเหมือนจะโผล่ เจ็บมากขยับไม่ได้ ต้องดามยังไงอะ แล้วห้ามให้กินน้ำใช่ปะ
005-โดนสารเคม-ผ-วหน-ง-panic,critical,panic,โดนสารเคมี (ผิวหนัง),สารเคมีหกใส่แขน แสบไหม้มากผิวเริ่มแดงลอก! ตอนนี้ควรล้างน้ำนานแค่ไหน ต้องถอดเสื้อผ้าที่โดนออกเลยไหม
005-โดนสารเคม-ผ-วหน-ง-calm,critical,calm,โดนสารเคมี (ผิวหนัง),มีผู้ป่วยถูกสารเคมีหกใส่ผิวหนังบริเวณแขน รู้สึกแสบปวดและผิวแดงมาก ขอคำแนะนำการล้างด้วยน้ำไหล การถอดเสื้อผ้า/เครื่องประดับที่ปนเปื้อน และการปิดแผลหากมีพุพองก่อนไปโรงพยาบาล
005-โดนสารเคม-ผ-วหน-ง-misspelled,critical,misspelled,โดนสารเคมี (ผิวหนัง),สารเคมีหกใส่แขน แสบมากเหมือนไหม้ ผิวแดงๆจะลอกแล้ว ต้องล้างน้ำนานเท่าไหร่ ถอดเสื้อที่เปื้อนออกเลยมั้ย
006-ห-วใจวาย-ขาดเล-อด-panic,critical,panic,หัวใจวาย/ขาดเลือด,ผู้ใหญ่ที่บ้านเจ็บแน่นหน้าอกมาก เหงื่อแตก ปวดร้าวลงแขน เขาบอกหายใจไม่ทั่วท้อง! ต้องให้เขานั่งหรือนอน แล้วควรโทรเรียกรถพยาบาลยังไงเร็วที่สุด
006-ห-วใจวาย-ขาดเล-อด-calm,critical,calm,หัวใจวาย/ขาดเลือด,ผู้ป่วยมีอาการแน่นหน้าอกและปวดร้าวลงแขนร่วมกับเหงื่อออกมาก ยังรู้สึกตัวแต่ดูอ่อนแรง ขอคำแนะนำการจัดท่าให้สบาย การคลายเสื้อผ้า และขั้นตอนที่ต้องทำหากอาการทรุดหรือหมดสติระหว่างรอรถพยาบาล
006-ห-วใจวาย-ขาดเล-อด-misspelled,critical,misspelled,หัวใจวาย/ขาดเลือด,คนที่บ้านแน่นหน้าอกมาก เหงื่อแตก ปวดร้าวลงแขน หายใจไม่อิ่ม ต้องให้นั่งหรือนอนดี แล้วโทร1669ต้องบอกอะไรบ้าง
007-แขนท-อนล-างห-ก-panic,critical,panic,แขนท่อนล่างหัก,ช่วยด้วยค่ะ ล้มเอามือยันพื้นแล้วข้อมือเหมือนหัก แขนงอผิดรูปเจ็บมาก ขยับไม่ได้เลย มีแผลถลอกเลือดซึม จะทำยังไงดีคะ!
007-แขนท-อนล-างห-ก-calm,critical,calm,แขนท่อนล่างหัก,ผมล้มเอามือยันพื้น ตอนนี้ข้อมือ/ท่อนแขนล่างบวมและผิดรูป เจ็บมากและขยับไม่ได้ มีเลือดซึมเล็กน้อยจากแผลถลอก ขอคำแนะนำการพยุงและห่อแผลก่อนพาไปโรงพยาบาลครับ
007-แขนท-อนล-างห-ก-misspelled,critical,misspelled,แขนท่อนล่างหัก,ช่วยด้วยคับ ล้มเอามือยันพื่น ข้อมือเหมือนหัก แขนงอแปลกๆ เจ็บมากขยับไม่ได้ มีแผลถลอกเลือดซึมนิดหน่อย ต้องทำไงก่อนพาไป รพ
008-ไข-ส-งช-ก-panic,critical,panic,ไข้สูงชัก,ลูกตัวร้อนจี๋แล้วชักค่ะ ตาเหลือก เกร็งกระตุกเหมือนจะกัดลิ้น หนูทำอะไรไม่ถูกเลย!
008-ไข-ส-งช-ก-calm,critical,calm,ไข้สูงชัก,เด็กมีไข้สูงและเกิดอาการชัก เกร็งกระตุก ตาเหลือก ตอนนี้ยังไม่รู้สึกตัวดี ขอคำแนะนำท่าจัดให้นอนและสิ่งที่ห้ามทำระหว่างรอไปโรงพยาบาลครับ
008-ไข-ส-งช-ก-misspelled,critical,misspelled,ไข้สูงชัก,น้องมีไข้สูงมากๆแล้วอยู่ๆก้อชัก ตาเหลือก เกร็งกระตุก เหมือนจะกัดลิ้น ตอนนี้ยังมึนๆ ทำไงดีคะ
009-ตกจากท-ส-ง-panic,critical,panic,ตกจากที่สูง,คนงานตกจากนั่งร้านสูงหลายเมตรค่ะ นอนนิ่งร้องเจ็บหลังมาก ขยับแทบไม่ได้ มีเลือดออกที่หัวนิดหน่อย จะจับลุกก็กลัว!
009-ตกจากท-ส-ง-calm,critical,calm,ตกจากที่สูง,มีผู้บาดเจ็บตกจากที่สูงประมาณ 3 เมตร กระแทกพื้นและบ่นปวดหลังมาก ขยับลำตัวลำบาก มีแผลเลือดออกบริเวณศีรษะเล็กน้อย ขอคำแนะนำการประเมินสติ/การหายใจและการห้ามเลือดโดยไม่เคลื่อนย้ายครับ
009-ตกจากท-ส-ง-misspelled,critical,misspelled,ตกจากที่สูง,มีคนตกจากนั่งร้านประมาน3เมตร กระแทกพื้น เจ็บหลังมาก ขยับแทบม่ะได้ มีเลือดออกที่หัวนิดๆ ควรทำไงก่อนดี
010-แผลหน-งเป-ด-ถลอกล-ก-panic,critical,panic,แผลหนังเปิด/ถลอกลึก,รถล้มค่ะ แผลถลอกลึกมาก หนังเหมือนหลุด เห็นเนื้อแดงๆ เลือดซึมตลอด กลัวติดเชื้อทำไงดี!
010-แผลหน-งเป-ด-ถลอกล-ก-calm,critical,calm,แผลหนังเปิด/ถลอกลึก,เกิดอุบัติเหตุรถล้ม มีแผลถลอกลึกลักษณะหนังเปิด เห็นเนื้อแดงและมีเลือดซึม ต้องการคำแนะนำการล้างแผลอย่างถูกวิธีและการปิดแผลก่อนพบแพทย์ครับ
010-แผลหน-งเป-ด-ถลอกล-ก-misspelled,critical,misspelled,แผลหนังเปิด/ถลอกลึก,รถล้มคะ แผลถลอกลึกมาก หนังเหมือนหลุด เห็นเนื้อแดงๆ เลือดซึมเรื่อยๆ ต้องล้าง/ปิดแผลยังไงดี
011-ส-น-ขก-ด-ไม-ม-แผล-panic,critical,panic,สุนัขกัด (ไม่มีแผล),โดนหมางับค่ะ แต่เหมือนไม่มีแผลนะ แค่น้ำลายเลอะผิว หนูกลัวพิษสุนัขบ้ามากต้องไปฉีดยาเลยไหม!
011-ส-น-ขก-ด-ไม-ม-แผล-calm,critical,calm,สุนัขกัด (ไม่มีแผล),ถูกสุนัขงับแต่ผิวไม่แตก ไม่มีเลือดออก มีเพียงน้ำลายเปื้อนบริเวณผิวหนัง ขอคำแนะนำการล้างทำความสะอาดและการสังเกตอาการสุนัขในช่วงต่อไปครับ
011-ส-น-ขก-ด-ไม-ม-แผล-misspelled,critical,misspelled,สุนัขกัด (ไม่มีแผล),โดนหมางับแต่ไม่เห็นมีแผลเลย แค่น้ำลายเลอะผิว กลัวพิษสุนัขบ้า ต้องล้างยังไง แล้วต้องไปฉีดวัคซีนมั้ยคะ
012-กระด-กไหปลาร-าห-ก-panic,critical,panic,กระดูกไหปลาร้าหัก,ล้มกระแทกไหล่ค่ะ ตอนนี้ไหล่ห้อย เจ็บจี๊ด ยกแขนไม่ได้เลย เหมือนกระดูกไหปลาร้าหัก ทำไงดีคะ!
012-กระด-กไหปลาร-าห-ก-calm,critical,calm,กระดูกไหปลาร้าหัก,ผู้บาดเจ็บล้มกระแทกไหล่ ข้างที่เจ็บมีไหล่ตกและยกแขนไม่ได้ ปวดมากบริเวณไหปลาร้า ขอคำแนะนำการคล้องแขนให้นิ่งและการประคบเย็นระหว่างเตรียมไปโรงพยาบาลครับ
012-กระด-กไหปลาร-าห-ก-misspelled,critical,misspelled,กระดูกไหปลาร้าหัก,ล้มกระแทกไหล่คะ ตอนนี้ไหล่ห้อยๆ เจ็บมาก ยกแขนม่ะได้ เหมือนไหปลาร้าหัก ต้องคล้องแขน/ประคบยังไงก่อนไป รพ
013-ช-กเกร-ง-panic,critical,panic,ชักเกร็ง,คนไข้ที่วอร์ดอยู่ๆ ชักกระตุกทั้งตัว ตาลอย น้ำลายฟูมปากเหมือนกัดลิ้น! เราควรทำยังไงตอนนี้ ต้องจับนอนตะแคงไหม แล้วถ้าชักไม่หยุดต้องทำยังไง?
013-ช-กเกร-ง-calm,critical,calm,ชักเกร็ง,ที่โรงพยาบาลมีผู้ป่วยเกิดอาการชักกระตุก ตาลอย น้ำลายมาก และเกร็งทั้งตัว ขณะนี้ยังชักอยู่ อยากทราบวิธีจัดท่าที่ปลอดภัย ป้องกันศีรษะกระแทก และควรจับเวลานานเท่าไรถึงต้องเรียกรถพยาบาล/ทีมฉุกเฉิน
013-ช-กเกร-ง-misspelled,critical,misspelled,ชักเกร็ง,คนไข้ในวอดอยุ่ๆก้อชักกระตุก ตาลอย น้ำลายฟูมปากเหมือนกัดลิ้น เราต้องทำไงก่อน จับนอนตะแคงได้มั้ย แล้วถ้าชักเกินไม่กี่นาทีควรทำไงอะ?
014-ไฟช-อต-แรงส-ง-panic,critical,panic,ไฟช็อต (แรงสูง),มีคนโดนสายไฟแรงสูงช็อตเหมือนระเบิดดังปัง กระเด็นล้ม ตัวมีรอยไหม้ เรียกแล้วไม่ตอบ! เราจะเข้าไปจับได้ไหม ต้องทำอะไรก่อนเดี๋ยวนี้?
014-ไฟช-อต-แรงส-ง-calm,critical,calm,ไฟช็อต (แรงสูง),เกิดเหตุไฟฟ้าแรงสูงช็อต มีผู้บาดเจ็บกระเด็นล้ม มีแผลไหม้ และไม่ตอบสนองเมื่อเรียก ขอคำแนะนำเรื่องการทำให้พื้นที่ปลอดภัย การตัดกระแสไฟ และขั้นตอนช่วยชีวิต/ดูแลแผลไหม้ระหว่างรอส่งโรงพยาบาล
014-ไฟช-อต-แรงส-ง-misspelled,critical,misspelled,ไฟช็อต (แรงสูง),มีคนโดนไฟแรงสูงช้อต เสียงเหมือนระเบิดแล้วกระเด็นล้ม ตัวมีรอยไหม้ เรียกก้ไม่ตื่น เราเข้าไปแตะได้ป่าว ต้องตัดไฟยังไง แล้วต้องช่วยหายใจ/กดหน้าอกมั้ย?
015-กะโหลกร-าว-panic,critical,panic,กะโหลกร้าว,คนไข้ตกจากที่สูงหัวกระแทกแรงมาก เหมือนหัวบุบ แล้วมีเลือดไหลออกหู/จมูกด้วย เค้าบอกปวดหัวจี๊ดๆ จะอ้วก! เราควรทำอะไร ห้ามขยับคอใช่ไหม?
015-กะโหลกร-าว-calm,critical,calm,กะโหลกร้าว,มีผู้บาดเจ็บตกจากที่สูง ศีรษะกระแทกรุนแรง มีอาการปวดศีรษะมาก คลื่นไส้ และมีเลือด/น้ำไหลจากหูหรือจมูก สงสัยกะโหลกร้าว ขอคำแนะนำการปิดแผลอย่างปลอดภัย การประคบเย็น และการตรึงศีรษะคอระหว่างรอทีมแพทย์
015-กะโหลกร-าว-misspelled,critical,misspelled,กะโหลกร้าว,มีคนตกจากที่สูง หัวกระแทกแรงเหมือนหัวบุบ เลือดออกหู/จมูกด้วย เค้าบอกปวดหัวมากจะอ้วก เราต้องทำไงดี ห้ามขยับหัวคอใช่ป่ะ แล้วแผลบนหัวกดได้มั้ย?
016-ต-นขาห-ก-panic,critical,panic,ต้นขาหัก,มีคนล้มแล้วต้นขาผิดรูป ขาสั้นยาวไม่เท่ากัน เจ็บมากจนขยับไม่ได้ เค้าหน้าซีดจะช็อก! เราจะพยุงยังไง ห้ามยกขาสูงใช่ไหม?
016-ต-นขาห-ก-calm,critical,calm,ต้นขาหัก,ผู้บาดเจ็บสงสัยกระดูกต้นขาหัก ขาผิดรูป ปวดมากและขยับไม่ได้ ขอคำแนะนำการประคองข้อเหนือ-ใต้จุดหัก การห่อ/ดามขาชั่วคราว และการดูแลอาการช็อกพร้อมข้อห้ามเรื่องอาหารน้ำระหว่างรอรถพยาบาล
016-ต-นขาห-ก-misspelled,critical,misspelled,ต้นขาหัก,มีคนล้มเหมือนต้นขาหัก ขาผิดรูป ขาสั้นยาวไม่เท่ากัน เจ็บมากขยับไม่ได้ หน้าซีดๆ เราควรพยุง/ดามยังไงได้บ้าง แล้วให้กินน้ำก่อนได้มั้ย?
017-โดนสาดน-ำกรด-panic,critical,panic,โดนสาดน้ำกรด,มีคนโดนสาดน้ำกรดใส่หน้า แสบมาก ผิวเหมือนไหม้ ร้องลั่น แล้วเหมือนเข้าตาด้วย! ตอนนี้เราต้องทำอะไรทันที ล้างยังไง ห้ามถูใช่ไหม?
017-โดนสาดน-ำกรด-calm,critical,calm,โดนสาดน้ำกรด,มีผู้ถูกทำร้ายด้วยการสาดน้ำกรดบริเวณใบหน้าและอาจเข้าตา มีอาการแสบและผิวไหม้ ขอคำแนะนำการป้องกันตัวผู้ช่วย การเอาสารออกอย่างถูกวิธี การล้างด้วยน้ำสะอาดปริมาณมาก และการปิดแผลก่อนส่งโรงพยาบาล
017-โดนสาดน-ำกรด-misspelled,critical,misspelled,โดนสาดน้ำกรด,มีคนโดนสาดน้ำกรดใส่หน้า แสบสุดๆเหมือนหน้าไหม้ น่าจะเข้าตาด้วย เราต้องทำไรด่วนๆ ล้างน้ำก๊อกได้มั้ย ต้องเช็ดออกก่อนรึป่าว ห้ามถูใช่มั้ย?
018-ไข-ส-งช-ก-เด-ก-panic,critical,panic,ไข้สูงชัก (เด็ก),เด็กตัวร้อนจัดอยู่ดีๆก็ชัก ตาเหลือก ตัวเกร็ง เราตกใจมาก! จะงัดปากได้ไหม แล้วต้องเช็ดตัวด้วยน้ำเย็นหรือแอลกอฮอล์ดี?
018-ไข-ส-งช-ก-เด-ก-calm,critical,calm,ไข้สูงชัก (เด็ก),เด็กมีไข้สูง ตัวร้อนจัดและเกิดอาการชัก ตาเหลือก ขณะนี้ยังไม่รู้สึกตัว ขอคำแนะนำการจัดท่านอนตะแคง การคลายเสื้อผ้า ข้อห้ามเรื่องงัดปาก/ป้อนยา และวิธีเช็ดตัวที่เหมาะสมก่อนรีบไปโรงพยาบาล
018-ไข-ส-งช-ก-เด-ก-misspelled,critical,misspelled,ไข้สูงชัก (เด็ก),เด็กตัวร้อนจี๋เลย แล้วอยุ่ๆก้ชัก ตาเหลือก เกร็ง ไม่รู้สึกตัว เราต้องจับนอนตะแคงใช่มั้ย ห้ามงัดปากใช่ป่าว แล้วเช็ดตัวใช้น้ำเย็น/แอลกอฮอลได้มั้ย?
019-ส-น-ขก-ด-ถลอก-panic,critical,panic,สุนัขกัด (ถลอก),ช่วยด้วยค่ะ! โดนหมากัดที่หน้าแข้งเป็นแผลถลอกแสบมาก เลือดซึมนิดหน่อย ไม่รู้ต้องล้างยังไงและต้องไปฉีดวัคซีนพิษสุนัขบ้าเลยไหมคะ?
019-ส-น-ขก-ด-ถลอก-calm,critical,calm,สุนัขกัด (ถลอก),เมื่อกี้ถูกสุนัขกัดที่หน้าแข้งเป็นแผลถลอกมีเลือดซึมเล็กน้อย อยากทราบวิธีล้างแผลด้วยน้ำกับสบู่ให้ถูกต้อง และควรไปฉีดวัคซีนป้องกันพิษสุนัขบ้าหรือไม่
019-ส-น-ขก-ด-ถลอก-misspelled,critical,misspelled,สุนัขกัด (ถลอก),พอดีโดนหมากัดหน้าแข้งอะคะ เป็นแผลถลอกแสบๆเลือดซึมหน่อยๆ ต้องล้างด้วยน้ำสบู่ยังไง แล้วต้องไปฉีดวัคซีนพิษสุนัขบ้าเลยมั้ยคะ
020-ต-นแขนห-ก-panic,critical,panic,ต้นแขนหัก,แขนเขาเหมือนหักค่ะ! ต้นแขนบิดผิดรูป แขนห้อยลง ขยับไม่ได้ เจ็บมาก เราควรจับประคองยังไง ดามได้ไหม แล้วห้ามกินน้ำกินข้าวใช่ไหม?
020-ต-นแขนห-ก-calm,critical,calm,ต้นแขนหัก,มีผู้บาดเจ็บสงสัยกระดูกต้นแขนหัก แขนผิดรูปและขยับไม่ได้ ปวดมาก ขอคำแนะนำการประคองและพันผ้าพยุง/คล้องแขนให้อยู่นิ่งในท่าที่สบาย และข้อควรหลีกเลี่ยงระหว่างรอไปโรงพยาบาล
020-ต-นแขนห-ก-misspelled,critical,misspelled,ต้นแขนหัก,เหมือนต้นแขนหักคับ แขนบิดๆผิดรูป แขนห้อย ขยับไม่ได้เจ็บมาก ต้องประคอง/ดามยังไงดี แล้วระหว่างนี้ห้ามให้กินน้ำกินข้าวใช่ปะ
021-แมวก-ด-ข-วน-panic,critical,panic,แมวกัด/ข่วน,โดนแมวกัดกับข่วนที่มือค่ะ แผลเหมือนลึกนิดๆ แสบมาก กลัวติดเชื้อ! ต้องล้างยังไง ทายาอะไรได้ แล้วต้องปิดแผลแบบไหนคะ?
021-แมวก-ด-ข-วน-calm,critical,calm,แมวกัด/ข่วน,ถูกแมวกัดและข่วนที่หลังมือ มีรอยเขี้ยวและแผลถลอก ขอวิธีล้างแผลด้วยน้ำสบู่ให้สะอาด การทายาฆ่าเชื้อบริเวณรอบแผล และการปิดด้วยผ้าก๊อซ รวมถึงสัญญาณบวมแดงร้อนปวดที่ควรไปพบแพทย์
021-แมวก-ด-ข-วน-misspelled,critical,misspelled,แมวกัด/ข่วน,โดนแมวกัด/ข่วนที่มือคะ เหมือนมีรอยเขี้ยวลึกๆนิดนึง ต้องล้างด้วยน้ำสบู่แรงๆใช่มั้ย แล้วทาเบตาดีนรอบๆแผลได้ปะ ปิดก๊อซยังไงดี
022-ม-ว-ตถ-ป-กคา-panic,critical,panic,มีวัตถุปักคา,ช่วยด้วย! มีเหล็กปักคาที่ขา เลือดออกและมันยังคาอยู่เลย เราห้ามดึงออกใช่ไหม แล้วต้องพันผ้ารอบๆยังไงให้มันไม่ขยับก่อนพาไปโรงพยาบาล?
022-ม-ว-ตถ-ป-กคา-calm,critical,calm,มีวัตถุปักคา,มีผู้บาดเจ็บถูกวัตถุแหลม (เหล็ก) ปักคาที่ขา วัตถุยังคาอยู่และมีเลือดซึม ขอคำแนะนำการห้ามเลือดโดยวางผ้าสะอาดรอบๆ และการพันยึดให้วัตถุคงที่โดยไม่ดึงออก ระหว่างรีบนำส่งโรงพยาบาล
022-ม-ว-ตถ-ป-กคา-misspelled,critical,misspelled,มีวัตถุปักคา,มีเหล็กเสียบคาขาอยู่คับ เลือดซึมๆ เราไม่ควรดึงออกใช่มั้ย แล้วต้องเอาผ้าก๊อซวางรอบๆกับพันยึดไว้ยังไงไม่ให้มันขยับก่อนถึง รพ.
023-ง-ระบบประสาท-เห-า-จงอาง-panic,critical,panic,งูระบบประสาท (เห่า/จงอาง),โดนงูเห่ากัดที่ข้อเท้าค่ะ เห็นมันแผ่แม่เบี้ย! ตอนนี้เริ่มอ่อนแรง กลัวหายใจไม่ออก ต้องทำอะไรทันที ล้างแผล รัดยังไง แล้วห้ามทาอะไรใช่ไหมคะ?
023-ง-ระบบประสาท-เห-า-จงอาง-calm,critical,calm,งูระบบประสาท (เห่า/จงอาง),สงสัยถูกงูเห่าหรือจงอางกัดบริเวณข้อเท้า มีรอยเขี้ยวและเริ่มรู้สึกอ่อนแรง ขอคำแนะนำการล้างแผลด้วยน้ำและสบู่ การรัดเหนือ-ใต้แผลแบบไม่แน่นเกินเพื่อให้อวัยวะอยู่นิ่ง การวางขาให้ต่ำหรือระดับเดียวกับหัวใจ และสิ่งที่ห้ามทา/ห้ามดูดพิษก่อนรีบไปสถานพยาบาล
023-ง-ระบบประสาท-เห-า-จงอาง-misspelled,critical,misspelled,งูระบบประสาท (เห่า/จงอาง),น่าจะโดนงูเห่ากัดตรงข้อเท้าคะ เห็นมันแผ่แม่เบี้ย ตอนนี้เริ่มอ่อนแรงๆ ต้องล้างด้วยน้ำสบู่ใช่มั้ย รัดเหนือใต้แผลประมาณ3นิ้วมือแบบพอสอดนิ้วได้ใช่ปะ แล้วห้ามทาเหล้า/ยาสีฟันใช่มะ
024-โรคหลอดเล-อดสมอง-panic,critical,panic,โรคหลอดเลือดสมอง,พ่ออยู่ดีๆปากเบี้ยว พูดไม่ชัด แขนขาข้างนึงอ่อนแรงค่ะ! ไม่รู้เริ่มตอนไหนแน่ๆ เมื่อกี้ยังปกติดี ต้องจัดท่านอนยังไง เขาน้ำลายไหลกลืนลำบากด้วย ช่วยบอกทีค่ะ
024-โรคหลอดเล-อดสมอง-calm,critical,calm,โรคหลอดเลือดสมอง,มีผู้สูงอายุมีอาการปากเบี้ยว พูดไม่ชัด และแขนขาข้างขวาอ่อนแรง สังเกตพบเมื่อประมาณ 20 นาทีที่แล้ว (ก่อนหน้านั้นยังปกติ) ขณะนี้ยังตอบสนองได้แต่กลืนลำบากและมีน้ำลายไหล ขอคำแนะนำการจัดท่าพักฟื้น การเฝ้าดูการหายใจ/การตอบสนอง และการดูแลไม่ให้หนาวหรือร้อนเกินไประหว่างรอไปโรงพยาบาล
024-โรคหลอดเล-อดสมอง-misspelled,critical,misspelled,โรคหลอดเลือดสมอง,พ่อจู่ๆปากเบี้ยว พูดไม่ชัด แขนขาข้างนึงแรงหายคะ น่าจะเริ่มเมื่อกี้แต่ไม่ชัวร์ ตอนนี้ยังรู้เรื่องแต่น้ำลายไหลกลืนยาก ต้องจัดท่าพักฟื้นยังไง แล้วต้องคอยดูหายใจ/การตอบสนองแบบไหน
025-ก-นยาเก-นขนาด-panic,critical,panic,กินยาเกินขนาด,ช่วยด้วยค่ะ เขากินยาไปเยอะมากเหมือนจะฆ่าตัวตาย ตอนนี้หมดสติแต่ยังหายใจ น้ำลายฟูมปาก หนูควรทำยังไงดี!
025-ก-นยาเก-นขนาด-calm,critical,calm,กินยาเกินขนาด,มีคนในบ้านกินยาเกินขนาด ตอนนี้หมดสติแต่ยังหายใจและมีน้ำลายฟูมปาก ฉันควรจัดท่านอนและดูแลทางเดินหายใจระหว่างรอไปโรงพยาบาลอย่างไร
025-ก-นยาเก-นขนาด-misspelled,critical,misspelled,กินยาเกินขนาด,ช่วยด่วนน เขากินยาไปเยอะมากเหมือนจะฆ่าตัวตาย ตอนนี้หมดสติแต่ยังหายใจ น้ำลายฟูมปาก ต้องทำไงดีคะ
026-กรดแบตเตอร-โดนผ-ว-panic,critical,panic,กรดแบตเตอรี่โดนผิว,น้ำกรดแบตหกโดนแขน แสบมาก แดงลามแล้ว! ต้องล้างยังไง เอาอะไรทาได้ไหม!
026-กรดแบตเตอร-โดนผ-ว-calm,critical,calm,กรดแบตเตอรี่โดนผิว,กรดจากแบตเตอรี่หกโดนผิวบริเวณแขน มีอาการแสบและแดง ต้องล้างด้วยน้ำไหลนานแค่ไหน และควรถอดเสื้อผ้าหรือเครื่องประดับตรงนั้นอย่างไร
026-กรดแบตเตอร-โดนผ-ว-misspelled,critical,misspelled,กรดแบตเตอรี่โดนผิว,กรดแบตหกโดนผิวแขน แสบมาก แดงๆคันๆ ต้องล้างนำ้กี่นาที แล้วทาอะไรได้มั้ย
027-ผ-ง-ต-อต-อย-ผ-แพ-เหล-กร-นแรง-panic,critical,panic,ผึ้ง/ต่อต่อย (ผู้แพ้เหล้กรุนแรง),โดนต่อยค่ะ บวมเร็วมากแล้วเริ่มหายใจไม่ออก! เหมือนมีเหล็กในอยู่ จะเอาออกยังไงดี!
027-ผ-ง-ต-อต-อย-ผ-แพ-เหล-กร-นแรง-calm,critical,calm,ผึ้ง/ต่อต่อย (ผู้แพ้เหล้กรุนแรง),ผู้ป่วยถูกผึ้ง/ต่อต่อย มีอาการบวมมากและเริ่มหายใจลำบาก เห็นเหมือนมีเหล็กในคาอยู่ ควรเอาเหล็กในออกและดูแลเบื้องต้นอย่างไรระหว่างรีบไปโรงพยาบาล
027-ผ-ง-ต-อต-อย-ผ-แพ-เหล-กร-นแรง-misspelled,critical,misspelled,ผึ้ง/ต่อต่อย (ผู้แพ้เหล้กรุนแรง),โดนผึ้งต่อย บวมเป่งไวมาก แถมหายใจไม่ค่อยออก เหมือนมีเหล็กในคาอยู่ เอาออกยังไงดีคะ
028-ข-อเท-าห-ก-panic,critical,panic,ข้อเท้าหัก,ข้อเท้าพลิกแล้วเหมือนบิดผิดรูป เดินไม่ได้เลย เจ็บมาก! ต้องดามยังไง ห้ามขยับใช่ไหม!
